year,Denmark,Finland,Iceland,Norway,Sweden,Scandinavian and Nordic Countries
year,target,target,target,target,target,comparison
1945,2,0,1,1,7,11
1946,6,4,2,10,19,43
1947,16,11,2,15,22,67
1948,20,18,2,15,46,104
1949,14,14,1,5,20,59
1950,35,30,8,27,38,139
1951,44,41,5,36,38,164
1952,52,14,6,23,38,133
1953,40,24,5,12,18,105
1954,35,29,3,16,26,109
1955,34,15,4,19,29,101
1956,37,23,2,21,32,114
1957,26,19,4,15,21,83
1958,29,24,6,11,37,106
1959,36,27,6,19,32,119
1960,31,46,0,16,29,129
1961,27,23,6,19,32,106
1962,19,25,7,11,32,97
1963,138,109,8,67,174,472
1964,285,198,16,160,366,936
1965,240,158,9,141,416,970
1966,256,238,14,139,543,1195
1967,268,156,18,118,404,942
1968,349,228,18,220,388,1193
1969,329,191,21,180,557,1274
1970,336,181,21,177,404,1108
1971,367,214,17,211,487,1275
1972,305,268,30,165,480,1239
1973,497,313,32,274,585,1676
1974,658,354,34,262,749,2050
1975,528,302,28,337,765,1945
1976,535,289,22,332,734,1921
1977,533,346,34,330,656,1896
1978,505,419,26,307,745,2017
1979,635,299,28,339,737,2049
1980,572,258,21,306,729,1924
1981,535,248,28,321,607,1771
1982,637,280,38,278,603,1823
1983,618,267,25,276,617,1783
1984,576,287,22,391,678,1961
1985,577,342,23,376,650,1947
1986,806,314,24,472,687,2273
1987,732,390,30,468,682,2275
1988,782,386,29,560,981,2747
1989,844,381,46,616,988,2848
1990,950,451,45,762,1050,3245
1991,862,521,49,702,1212,3362
1992,901,503,45,790,1143,3378
1993,889,495,58,846,1276,3558
1994,829,544,48,719,1235,3357
1995,629,631,59,647,1322,3281
1996,742,692,73,721,1455,3656
1997,943,807,79,926,1626,4343
1998,838,741,79,766,1318,3665
1999,845,729,112,708,1446,3826
2000,824,746,86,762,1575,3928
2001,877,883,91,808,1735,4342
2002,945,804,101,741,1686,4216
2003,963,878,92,831,1786,4481
2004,1139,1222,120,890,1771,5058
2005,1129,1183,157,950,2010,5332
2006,1198,1095,170,1014,2087,5425
2007,1235,1171,150,1139,2237,5826
2008,1371,1162,178,1279,2263,6168
2009,1403,1284,175,1257,2319,6337
2010,1636,1409,223,1445,2663,7167
2011,1814,1401,207,1552,2740,7538
2012,2007,1391,241,1704,2955,8159
2013,2120,1400,229,1693,3148,8450
2014,2234,1404,205,1676,3120,8454
2015,2434,1386,218,1681,3255,8869
2016,2428,1609,226,1782,3375,9258
2017,2466,1515,205,1931,3473,9470
2018,2584,1467,197,1761,3341,9222
2019,2168,1319,174,1645,2928,8106
