year,Adrenal Gland Neoplasms,Ovarian Neoplasms,Pancreatic Neoplasms,Pituitary Neoplasms,Testicular Neoplasms,Thyroid Neoplasms,Endocrine Gland Neoplasms
year,target,target,target,target,target,target,comparison
1945,8,28,8,3,12,8,72
1946,28,83,36,25,43,27,247
1947,41,90,52,18,38,36,274
1948,54,110,51,21,45,47,325
1949,42,109,40,19,42,50,301
1950,12,111,19,25,29,29,224
1951,80,197,56,38,65,75,492
1952,95,204,122,62,75,99,650
1953,65,218,79,70,74,107,611
1954,66,218,90,57,83,101,609
1955,61,239,89,72,74,110,631
1956,84,198,87,62,72,124,612
1957,70,241,93,72,90,109,659
1958,75,226,98,66,77,123,660
1959,54,213,100,69,97,122,648
1960,70,247,140,68,103,124,735
1961,70,294,147,72,91,122,782
1962,90,292,150,89,115,143,844
1963,159,440,265,126,145,298,1364
1964,207,560,305,199,236,383,1786
1965,148,352,238,106,159,298,1282
1966,154,345,263,117,175,297,1331
1967,225,410,331,181,226,288,1630
1968,281,418,366,163,276,383,1847
1969,313,470,356,175,227,387,1893
1970,292,434,405,167,234,450,1957
1971,328,496,411,209,229,424,2047
1972,291,473,509,224,232,400,2108
1973,291,435,429,273,246,394,2101
1974,286,483,458,260,270,405,2188
1975,263,490,512,212,273,433,2205
1976,233,459,497,285,283,413,2214
1977,306,475,524,326,308,534,2490
1978,336,512,542,397,319,463,2566
1979,401,605,642,457,384,473,2967
1980,370,538,623,535,417,500,3053
1981,405,668,617,487,419,445,3083
1982,458,703,635,550,445,479,3301
1983,497,777,686,571,488,547,3624
1984,496,902,724,569,555,588,3884
1985,541,992,767,635,683,572,4217
1986,557,924,772,532,507,611,3938
1987,533,946,742,552,535,623,4000
1988,559,992,772,496,536,575,4009
1989,619,1177,876,487,528,644,4378
1990,623,1223,982,499,551,652,4545
1991,556,1081,859,492,488,588,4099
1992,510,1253,907,521,490,663,4428
1993,466,1464,944,525,558,717,4713
1994,496,1446,990,505,553,710,4765
1995,558,1413,1024,492,490,786,4815
1996,485,1475,1146,474,485,848,4996
1997,478,1527,1101,513,512,903,5112
1998,486,1526,1225,477,536,969,5354
1999,479,1587,1373,558,525,895,5470
2000,528,1667,1328,517,492,978,5628
2001,563,1726,1366,551,467,1036,5795
2002,538,1771,1538,525,450,999,5937
2003,502,2010,1502,545,525,1075,6247
2004,560,2115,1663,480,557,1221,6611
2005,564,2238,1888,633,569,1171,7116
2006,619,2466,1992,628,557,1409,7726
2007,631,2487,2191,595,683,1396,8020
2008,707,2569,2402,619,556,1517,8413
2009,737,2720,2581,678,587,1471,8812
2010,767,2872,2792,750,601,1781,9515
2011,779,3172,2999,726,647,1890,10176
2012,837,3317,3414,776,583,2035,10915
2013,777,3309,3556,787,594,2179,11145
2014,805,3529,3809,785,632,2438,11935
2015,784,3646,4027,841,652,2545,12433
2016,689,3646,4064,835,609,2487,12239
2017,734,3429,3944,848,509,2418,11856
2018,716,3380,4063,821,564,2357,11853
2019,739,3544,4257,808,558,2480,12291
