year,blueberry,apple,blackberry,strawberry,orange,banana,fruit
year,target,target,target,target,target,target,comparison
1969,0,19,0,5,64,2,172
1970,1,9,0,5,77,9,184
1971,0,19,0,1,53,1,195
1972,1,12,0,3,77,7,177
1973,0,22,0,4,68,3,202
1974,1,19,1,6,77,5,206
1975,0,24,0,3,149,7,224
1976,1,37,0,12,173,6,227
1977,1,37,0,9,167,8,206
1978,1,35,0,6,143,15,204
1979,1,44,1,12,169,7,197
1980,2,36,1,16,164,12,183
1981,0,39,1,13,169,15,185
1982,4,61,2,8,189,14,208
1983,0,85,0,12,213,20,219
1984,3,85,0,9,257,7,241
1985,1,87,0,13,264,25,279
1986,2,91,0,15,278,16,249
1987,2,91,2,8,265,24,306
1988,2,84,1,8,269,20,319
1989,5,77,0,15,308,19,324
1990,3,102,2,16,318,26,403
1991,4,93,1,17,310,24,466
1992,4,108,1,21,290,26,469
1993,3,123,1,24,283,36,528
1994,13,122,0,11,318,30,598
1995,7,139,3,19,334,57,645
1996,10,134,0,24,337,54,710
1997,5,165,4,41,365,71,853
1998,12,156,2,43,351,65,893
1999,13,186,2,52,451,64,1069
2000,16,270,10,80,508,82,1391
2001,23,274,5,87,562,88,1576
2002,29,264,11,81,546,85,1628
2003,21,275,12,80,595,86,1907
2004,37,377,18,108,627,109,2032
2005,52,377,14,115,818,112,2300
2006,55,362,19,115,879,120,2521
2007,63,449,16,130,991,143,2788
2008,72,465,33,123,1021,151,2909
2009,71,466,29,135,1064,147,3315
2010,101,523,35,152,1226,167,3824
2011,114,607,43,167,1296,211,4498
2012,122,682,49,213,1530,222,5073
2013,170,783,61,252,1609,277,5553
2014,170,859,79,240,1805,286,5990
2015,158,881,63,271,1915,278,6313
2016,157,923,55,286,1890,319,6469
2017,206,961,55,328,2033,321,6730
2018,223,1104,52,385,2074,357,7226
2019,245,1294,77,394,2224,417,7745
2020,204,1173,47,384,1907,370,5927
