year,increased interest,banana
year,target,comparison
1964,0,6
1965,0,6
1966,2,4
1967,0,9
1968,2,2
1969,0,2
1970,0,9
1971,0,1
1972,0,7
1973,1,3
1974,1,5
1975,5,7
1976,10,6
1977,6,8
1978,9,15
1979,12,7
1980,16,12
1981,9,15
1982,12,14
1983,8,20
1984,15,7
1985,21,25
1986,35,16
1987,19,24
1988,23,20
1989,31,19
1990,42,26
1991,33,24
1992,35,26
1993,51,36
1994,50,30
1995,53,57
1996,57,54
1997,62,71
1998,59,65
1999,59,64
2000,68,82
2001,93,88
2002,96,85
2003,98,86
2004,122,109
2005,138,112
2006,151,120
2007,160,143
2008,215,151
2009,200,147
2010,223,167
2011,266,211
2012,289,222
2013,288,277
2014,355,286
2015,358,278
2016,400,319
2017,409,321
2018,432,357
2019,486,417
2020,443,370
