year,prefrontal cortex,visual cortex,cingulate cortex,amygdala,supplementary motor area,frontal eye fields,brain
year,target,target,target,target,target,target,comparison
1990,148,449,51,441,32,6,18984
1991,162,467,62,458,29,7,19075
1992,200,437,57,557,33,6,19877
1993,221,505,69,602,38,5,20720
1994,282,492,95,527,40,10,21360
1995,347,513,99,543,51,14,21711
1996,421,655,113,550,79,14,22124
1997,455,604,113,653,65,9,23230
1998,558,627,126,696,73,14,23860
1999,631,677,140,734,81,15,25183
2000,799,714,148,768,87,16,26699
2001,824,720,184,770,92,19,26888
2002,919,698,199,822,102,12,26878
2003,1035,751,231,965,99,26,29190
2004,1311,777,324,1029,116,25,32201
2005,1495,954,379,1177,118,25,35647
2006,1730,986,417,1320,137,28,38687
2007,2123,1071,526,1406,137,36,40648
2008,2218,1058,579,1521,136,35,43315
2009,2328,1046,673,1581,146,43,46257
2010,2606,1045,767,1691,160,31,49375
2011,2847,1153,903,1867,196,48,53736
2012,3174,1226,1032,2029,228,46,58097
2013,3728,1237,1245,2136,310,30,61893
2014,3917,1213,1337,2210,311,40,64037
2015,4143,1291,1337,2251,314,28,65479
2016,4034,1224,1299,2234,275,36,66206
2017,4195,1175,1388,2266,311,37,68657
2018,4412,1106,1390,2195,320,38,70766
